LTR,Date,ExpNo1,ExpNo2,Num,RS,WDS
68,171021,1,1,1,0,0
68,171021,1,2,2,0,0
68,171021,1,3,3,1,0
68,171021,1,4,4,0,0
68,171021,1,5,5,1,0
68,171021,1,6,6,0,0
68,171022,1,1,7,0,0
68,171022,1,2,8,1,0
68,171022,1,3,9,0,0
68,171022,1,4,10,0,0
68,171022,1,5,11,0,0
68,171022,1,6,12,0,0
68,171023,1,1,13,0,0
68,171023,1,2,14,0,0
68,171023,1,3,15,0,0
68,171023,1,4,16,0,0
68,171023,1,5,17,0,0
68,171023,1,6,18,1,0
68,171024,1,1,19,1,0
68,171024,1,2,20,1,0
68,171024,1,3,21,1,0
68,171024,1,4,22,1,0
68,171024,1,5,23,1,0
68,171024,1,6,24,1,0
68,171025,1,1,25,1,0
68,171025,1,2,26,1,0
68,171025,1,3,27,1,0
68,171025,1,4,28,1,0
68,171025,1,5,29,1,0
68,171025,1,6,30,1,0
68,171026,1,1,31,1,0
68,171026,1,2,32,1,0
68,171026,1,3,33,1,0
68,171026,1,4,34,1,0
68,171026,1,5,35,1,0
68,171026,1,6,36,1,0
68,171027,1,1,37,1,0
68,171027,1,2,38,1,0
68,171027,1,3,39,1,0
68,171027,1,4,40,1,0
68,171027,1,5,41,1,0
68,171027,1,6,42,1,0
68,171028,1,1,43,1,0
68,171028,1,2,44,1,0
68,171028,1,3,45,1,0
68,171028,1,4,46,1,0
68,171028,1,5,47,2,0
68,171028,1,6,48,2,0
68,171029,1,1,49,1,0
68,171029,1,2,50,2,0
68,171029,1,3,51,1,0
68,171029,1,4,52,3,0
68,171029,1,5,53,2,0
68,171029,1,6,54,2,0
68,171030,1,1,55,1,0
68,171030,1,2,56,2,1
68,171030,1,3,57,4,0
68,171030,1,4,58,2,0
68,171030,1,5,59,5,0
68,171030,1,6,60,4,0
69,171021,2,1,1,0,0
69,171021,2,2,2,0,0
69,171021,2,3,3,1,0
69,171021,2,4,4,1,0
69,171021,2,5,5,0,0
69,171021,2,6,6,1,0
69,171022,2,1,7,1,0
69,171022,2,2,8,1,0
69,171022,2,3,9,1,0
69,171022,2,4,10,1,0
69,171022,2,5,11,1,0
69,171022,2,6,12,2,0
69,171023,2,1,13,2,0
69,171023,2,2,14,3,0
69,171023,2,3,15,2,0
69,171023,2,4,16,4,0
69,171023,2,5,17,5,0
69,171023,2,6,18,5,0
69,171024,2,1,19,5,0
69,171024,2,2,20,5,0
69,171024,2,3,21,5,0
69,171024,2,4,22,5,0
69,171024,2,5,23,5,0
69,171024,2,6,24,5,0
69,171025,2,1,25,5,0
74,180117,1,1,1,0,4
74,180117,1,1,2,0,3
74,180117,1,1,3,1,2
74,180117,1,1,4,1,7
74,180117,1,1,5,1,4
74,180117,1,1,6,1,4
74,180622,1,1,7,0,0
74,180622,1,1,8,0,3
74,180622,1,1,9,0,2
74,180622,1,1,10,0,2
74,180622,1,1,11,0,2
74,180622,1,1,12,1,2
74,180623,1,1,13,1,0
74,180623,1,1,14,0,1
74,180623,1,1,15,1,0
74,180623,1,1,16,1,0
74,180623,1,1,17,1,0
74,180623,1,1,18,1,1
74,180624,1,1,19,2,0
74,180624,1,1,20,2,4
74,180624,1,1,21,2,1
74,180624,1,1,22,2,3
74,180624,1,1,23,1,2
74,180624,1,1,24,4,2
74,180625,1,1,25,2,0
74,180625,1,1,26,2,0
74,180625,1,1,27,5,0
74,180625,1,1,28,2,0
74,180625,1,1,29,5,0
74,180625,1,1,30,2,0
74,180626,1,1,31,5,0
74,180626,1,1,32,5,0
74,180626,1,1,33,4,2
74,180626,1,1,34,1,2
74,180626,1,1,35,5,0
74,180626,1,1,36,1,0
74,180627,1,1,37,5,0
74,180627,1,1,38,5,0
74,180627,1,1,39,5,0
74,180627,1,1,40,1,1
74,180627,1,1,41,1,0
74,180627,1,1,42,5,0
74,180628,1,1,43,1,3
74,180628,1,1,44,1,3
74,180628,1,1,45,5,0
74,180628,1,1,46,0,0
74,180628,1,1,47,5,0
74,180628,1,1,48,1,0
74,180630,1,1,49,1,1
74,180630,1,1,50,1,1
74,180630,1,1,51,1,1
74,180630,1,1,52,1,1
74,180630,1,1,53,1,1
74,180630,1,1,54,1,1
74,180701,1,1,55,1,0
74,180701,1,1,56,3,0
74,180701,1,1,57,5,0
74,180701,1,1,58,1,0
74,180701,1,1,59,4,0
74,180701,1,1,60,1,0
75,180117,1,1,1,0,3
75,180117,2,1,2,0,3
75,180117,2,1,3,1,5
75,180117,2,1,4,1,3
75,180117,2,1,5,1,2
75,180117,2,1,6,1,8
75,180622,1,2,7,0,3
75,180622,1,2,8,0,2
75,180622,1,2,9,0,3
75,180622,1,2,10,0,5
75,180622,1,2,11,0,2
75,180622,1,2,12,0,0
75,180623,1,2,13,0,1
75,180623,1,2,14,0,2
75,180623,1,2,15,0,1
75,180623,1,2,16,1,1
75,180623,1,2,17,0,0
75,180623,1,2,18,1,1
75,180624,1,2,19,2,0
75,180624,1,2,20,2,1
75,180624,1,2,21,2,3
75,180624,1,2,22,3,0
75,180624,1,2,23,4,0
75,180624,1,2,24,3,2
75,180625,1,2,25,5,0
75,180625,1,2,26,5,0
75,180625,1,2,27,2,3
75,180625,1,2,28,2,2
75,180625,1,2,29,5,0
75,180625,1,2,30,5,0
75,180626,1,2,31,5,0
75,180626,1,2,32,5,0
75,180626,1,2,33,5,0
75,180626,1,2,34,5,0
75,180626,1,2,35,5,0
75,180626,1,2,36,5,0
75,180627,1,2,37,5,0
75,180627,1,2,38,5,0
75,180627,1,2,39,5,0
75,180627,1,2,40,5,0
75,180627,1,2,41,5,0
75,180627,1,2,42,5,0
75,180628,1,2,43,1,0
75,180628,1,2,44,4,0
75,180628,1,2,45,5,0
75,180628,1,2,46,5,0
75,180628,1,2,47,4,1
75,180628,1,2,48,4,0
75,180630,1,2,49,1,1
75,180630,1,2,50,5,2
75,180630,1,2,51,5,3
75,180630,1,2,52,5,1
75,180630,1,2,53,5,0
75,180630,1,2,54,5,0
75,180701,1,2,55,5,0
75,180701,1,2,56,5,1
75,180701,1,2,57,5,0
75,180701,1,2,58,5,0
75,180701,1,2,59,5,0
75,180701,1,2,60,5,2
80,180207,1,2,1,0,0
80,180207,1,2,2,0,3
80,180207,1,2,3,0,8
80,180207,1,2,4,0,5
80,180207,1,2,5,0,4
80,180207,1,2,6,0,6
80,180208,2,1,7,0,0
80,180208,2,1,8,0,0
80,180208,2,1,9,0,3
80,180208,2,1,10,0,3
80,180208,2,1,11,0,0
80,180208,2,1,12,0,0
80,180209,1,1,13,0,0
80,180209,1,1,14,0,0
80,180209,1,1,15,1,0
80,180209,1,1,16,1,0
80,180209,1,1,17,0,1
80,180209,1,1,18,1,0
80,180210,1,1,19,0,1
80,180210,1,1,20,1,3
80,180210,1,1,21,2,4
80,180210,1,1,22,4,0
80,180210,1,1,23,4,0
80,180210,1,1,24,5,0
80,180211,1,1,25,5,0
80,180211,1,1,26,1,1
80,180211,1,1,27,4,0
80,180211,1,1,28,5,0
80,180211,1,1,29,1,4
80,180211,1,1,30,2,4
80,180212,,,31,5,0
80,180212,,,32,5,0
80,180212,,,33,1,4
80,180212,,,34,1,2
80,180212,,,35,5,0
80,180212,,,36,5,0
80,180213,1,1,37,2,1
80,180213,1,1,38,5,0
80,180213,1,1,39,5,0
80,180213,1,1,40,4,1
80,180213,1,1,41,5,0
80,180213,1,1,42,5,0
80,180214,,,43,2,0
80,180214,,,44,1,0
80,180214,,,45,4,0
80,180214,,,46,5,0
80,180214,,,47,5,0
80,180214,,,48,4,6
80,180216,1,1,49,4,4
80,180216,1,1,50,5,0
80,180216,1,1,51,5,0
80,180216,1,1,52,5,0
80,180216,1,1,53,5,0
80,180216,1,1,54,5,0
80,180217,1,1,55,4,4
80,180217,1,1,56,5,0
80,180217,1,1,57,2,0
80,180217,1,1,58,5,0
80,180217,1,1,59,5,0
80,180217,1,1,60,5,0
81,180207,2,1,1,0,3
81,180207,2,1,2,0,3
81,180207,2,1,3,1,4
81,180207,2,1,4,1,5
81,180207,2,1,5,0,7
81,180207,2,1,6,0,4
81,180208,3,1,7,0,0
81,180208,3,1,8,0,0
81,180208,3,1,9,0,0
81,180208,3,1,10,0,2
81,180208,3,1,11,0,0
81,180208,3,1,12,0,1
81,180209,2,1,13,1,0
81,180209,2,1,14,1,3
81,180209,2,1,15,1,2
81,180209,2,1,16,1,3
81,180209,2,1,17,1,5
81,180209,2,1,18,1,4
81,180210,2,1,19,1,2
81,180210,2,1,20,1,1
81,180210,2,1,21,2,3
81,180210,2,1,22,4,3
81,180210,2,1,23,5,0
81,180210,2,1,24,5,0
81,180211,,,25,1,1
81,180211,,,26,5,0
81,180211,,,27,5,0
81,180211,,,28,5,0
81,180211,,,29,1,0
81,180211,,,30,2,2
81,180212,2,1,31,1,0
81,180212,2,1,32,5,0
81,180212,2,1,33,1,5
81,180212,2,1,34,5,0
81,180212,2,1,35,2,5
81,180212,2,1,36,2,5
81,180213,,,37,2,0
81,180213,,,38,4,0
81,180213,,,39,5,0
81,180213,,,40,3,0
81,180213,,,41,5,0
81,180213,,,42,5,0
81,180214,1,1,43,2,0
81,180214,1,1,44,5,0
81,180214,1,1,45,5,0
81,180214,1,1,46,5,0
81,180214,1,1,47,5,0
81,180214,1,1,48,4,5
81,180216,,,49,2,5
81,180216,,,50,2,5
81,180216,,,51,4,6
81,180216,,,52,5,0
81,180216,,,53,5,0
81,180216,,,54,2,6
81,180217,1,1,55,4,4
81,180217,1,1,56,5,0
81,180217,1,1,57,5,1
81,180217,1,1,58,5,0
81,180217,1,1,59,5,0
81,180217,1,1,60,5,0
85,180716,1,1,1,0,3
85,180716,1,1,2,0,10
85,180716,1,1,3,0,6
85,180716,1,1,4,0,4
85,180716,1,1,5,0,6
85,180716,1,1,6,0,6
86,180716,1,1,1,0,4
86,180716,1,1,2,0,12
86,180716,1,1,3,0,11
86,180716,1,1,4,0,14
86,180716,1,1,5,0,16
86,180716,1,1,6,0,13
85,180717,1,1,7,0,3
85,180717,1,1,8,0,0
85,180717,1,1,9,0,0
85,180717,1,1,10,1,2
85,180717,1,1,11,1,3
85,180717,1,1,12,1,0
86,180717,1,1,7,0,4
86,180717,1,1,8,0,14
86,180717,1,1,9,0,7
86,180717,1,1,10,1,0
86,180717,1,1,11,1,7
86,180717,1,1,12,1,5
85,180718,1,1,13,0,0
85,180718,1,1,14,0,5
85,180718,1,1,15,2,3
85,180718,1,1,16,1,4
85,180718,1,1,17,2,0
85,180718,1,1,18,2,5
86,180718,1,1,13,0,0
86,180718,1,1,14,2,10
86,180718,1,1,15,0,0
86,180718,1,1,16,3,7
86,180718,1,1,17,3,4
86,180718,1,1,18,4,0
85,181719,1,1,19,1,1
85,181719,1,1,20,1,9
85,181719,1,1,21,2,1
85,181719,1,1,22,2,2
85,181719,1,1,23,3,1
86,181719,1,1,24,2,0
86,181719,1,1,19,1,1
86,181719,1,1,20,4,7
86,181719,1,1,21,1,3
86,181719,1,1,22,5,3
86,181719,1,1,23,1,3
86,181719,1,1,24,2,3
85,180720,1,1,25,0,0
85,180720,1,1,26,4,0
85,180720,1,1,27,4,0
85,180720,1,1,28,5,0
85,180720,1,1,29,1,0
86,180720,1,1,30,1,0
86,180720,1,1,25,1,4
86,180720,1,1,26,2,5
86,180720,1,1,27,2,5
86,180720,1,1,28,2,10
86,180720,1,1,29,2,1
86,180720,1,1,30,5,2
85,180722,1,1,31,1,1
85,180722,1,1,32,5,1
85,180722,1,1,33,1,0
85,180722,1,1,34,5,0
85,180722,1,1,35,5,0
86,180722,1,1,36,2,3
86,180722,1,1,31,2,4
86,180722,1,1,32,2,11
86,180722,1,1,33,5,3
86,180722,1,1,34,5,2
86,180722,1,1,35,4,3
86,180722,1,1,36,4,1
85,180726,1,1,37,2,1
85,180726,1,1,38,5,0
85,180726,1,1,39,5,3
85,180726,1,1,40,5,0
85,180726,1,1,41,3,2
86,180726,1,1,42,4,0
86,180726,1,1,37,5,0
86,180726,1,1,38,2,7
86,180726,1,1,39,5,6
86,180726,1,1,40,5,4
86,180726,1,1,41,3,3
86,180726,1,1,42,3,3
85,180727,1,1,43,1,0
85,180727,1,1,44,5,0
85,180727,1,1,45,1,0
85,180727,1,1,46,2,1
85,180727,1,1,47,5,0
86,180727,1,1,48,1,0
86,180727,1,1,43,5,0
86,180727,1,1,44,5,2
86,180727,1,1,45,3,0
86,180727,1,1,46,5,0
86,180727,1,1,47,5,1
86,180727,1,1,48,5,2
85,180728,1,1,49,5,0
85,180728,1,1,50,5,0
85,180728,1,1,51,4,0
85,180728,1,1,52,5,0
85,180728,1,1,53,5,0
86,180728,1,1,54,5,1
86,180728,1,1,49,5,2
86,180728,1,1,50,5,4
86,180728,1,1,51,4,0
86,180728,1,1,52,5,3
86,180728,1,1,53,5,6
86,180728,1,1,54,4,1
85,180730,1,1,55,2,2
85,180730,1,1,56,3,0
85,180730,1,1,57,4,1
85,180730,1,1,58,4,1
85,180730,1,1,59,3,0
86,180730,1,1,60,4,0
86,180730,1,1,55,2,3
86,180730,1,1,56,1,3
86,180730,1,1,57,1,5
86,180730,1,1,58,1,2
86,180730,1,1,59,1,6
86,180730,1,1,60,2,3
93,180802,1,1,1,0,1
93,180802,1,1,2,0,0
93,180802,1,1,3,0,0
93,180802,1,1,4,1,8
93,180802,1,1,5,1,10
93,180802,1,1,6,1,7
94,180802,1,1,1,1,10
94,180802,1,1,2,1,8
94,180802,1,1,3,1,13
94,180802,1,1,4,1,12
94,180802,1,1,5,3,11
94,180802,1,1,6,1,5
93,180803,1,1,7,0,4
93,180803,1,1,8,0,0
93,180803,1,1,9,0,0
93,180803,1,1,10,0,4
93,180803,1,1,11,0,0
93,180803,1,1,12,0,0
94,180803,1,1,7,0,14
94,180803,1,1,8,0,6
94,180803,1,1,9,0,3
94,180803,1,1,10,0,8
94,180803,1,1,11,0,8
94,180803,1,1,12,0,7
93,180804,1,1,13,0,0
93,180804,1,1,14,0,0
93,180804,1,1,15,0,1
93,180804,1,1,16,0,0
93,180804,1,1,17,0,2
93,180804,1,1,18,0,0
94,180804,1,1,13,0,0
94,180804,1,1,14,0,9
94,180804,1,1,15,0,6
94,180804,1,1,16,0,8
94,180804,1,1,17,0,3
94,180804,1,1,18,0,4
93,180806,1,1,19,1,0
93,180806,1,1,20,1,0
93,180806,1,1,21,1,3
93,180806,1,1,22,1,0
93,180806,1,1,23,1,2
93,180806,1,1,24,1,0
94,180806,1,1,19,2,0
94,180806,1,1,20,1,3
94,180806,1,1,21,1,4
94,180806,1,1,22,1,6
94,180806,1,1,23,1,0
94,180806,1,1,24,1,2
93,180807,1,1,25,1,0
93,180807,1,1,26,1,0
93,180807,1,1,27,1,0
93,180807,1,1,28,1,0
93,180807,1,1,29,1,0
93,180807,1,1,30,1,0
94,180807,1,1,25,1,0
94,180807,1,1,26,1,0
94,180807,1,1,27,1,0
94,180807,1,1,28,1,0
94,180807,1,1,29,4,0
94,180807,1,1,30,5,0
93,180808,1,1,31,1,0
93,180808,1,1,32,1,0
93,180808,1,1,33,1,0
93,180808,1,1,34,1,0
93,180808,1,1,35,1,0
93,180808,1,1,36,1,0
94,180808,1,1,31,1,0
94,180808,1,1,32,5,0
94,180808,1,1,33,4,4
94,180808,1,1,34,5,0
94,180808,1,1,35,5,0
94,180808,1,1,36,5,0
93,180813,1,1,37,1,0
93,180813,1,1,38,1,2
93,180813,1,1,39,4,2
93,180813,1,1,40,4,1
93,180813,1,1,41,4,0
93,180813,1,1,42,4,0
94,180813,1,1,37,2,2
94,180813,1,1,38,5,1
94,180813,1,1,39,4,2
94,180813,1,1,40,5,0
94,180813,1,1,41,5,0
94,180813,1,1,42,5,0
93,180814,1,1,43,5,0
93,180814,1,1,44,5,0
93,180814,1,1,45,4,0
93,180814,1,1,46,5,0
93,180814,1,1,47,1,0
93,180814,1,1,48,5,0
94,180814,1,1,43,5,0
94,180814,1,1,44,5,0
94,180814,1,1,45,5,0
94,180814,1,1,46,5,0
94,180814,1,1,47,5,0
94,180814,1,1,48,5,0
93,180815,1,1,49,5,0
93,180815,1,1,50,5,0
93,180815,1,1,51,5,0
93,180815,1,1,52,4,0
93,180815,1,1,53,5,0
93,180815,1,1,54,5,0
94,180815,1,1,49,5,0
94,180815,1,1,50,5,0
94,180815,1,1,51,5,0
94,180815,1,1,52,5,0
94,180815,1,1,53,5,0
94,180815,1,1,54,5,0
93,180816,1,1,55,5,1
93,180816,1,1,56,5,2
93,180816,1,1,57,5,1
93,180816,1,1,58,5,5
93,180816,1,1,59,5,0
93,180816,1,1,60,5,6
94,180816,1,1,55,5,0
94,180816,1,1,56,5,5
94,180816,1,1,57,5,1
94,180816,1,1,58,5,1
94,180816,1,1,59,5,0
94,180816,1,1,60,5,0
99,180820,1,1,1,1,0
99,180820,1,1,2,1,0
99,180820,1,1,3,1,0
99,180820,1,1,4,1,0
99,180820,1,1,5,1,0
99,180820,1,1,6,2,0
100,180820,1,1,1,1,3
100,180820,1,1,2,1,2
100,180820,1,1,3,1,5
100,180820,1,1,4,2,0
100,180820,1,1,5,1,5
100,180820,1,1,6,1,5
99,180821,1,1,7,2,0
99,180821,1,1,8,1,0
99,180821,1,1,9,1,0
99,180821,1,1,10,1,0
99,180821,1,1,11,1,0
99,180821,1,1,12,1,0
100,180821,1,1,7,1,4
100,180821,1,1,8,1,3
100,180821,1,1,9,1,6
100,180821,1,1,10,1,9
100,180821,1,1,11,2,4
100,180821,1,1,12,1,3
99,180822,1,1,13,2,2
99,180822,1,1,14,1,0
99,180822,1,1,15,3,0
99,180822,1,1,16,0,0
99,180822,1,1,17,2,0
99,180822,1,1,18,0,0
100,180822,1,1,13,1,2
100,180822,1,1,14,1,3
100,180822,1,1,15,1,4
100,180822,1,1,16,2,2
100,180822,1,1,17,1,3
100,180822,1,1,18,2,4
99,180823,1,1,19,1,0
99,180823,1,1,20,1,0
99,180823,1,1,21,1,0
99,180823,1,1,22,5,0
99,180823,1,1,23,0,0
99,180823,1,1,24,5,0
100,180823,1,1,19,1,2
100,180823,1,1,20,1,3
100,180823,1,1,21,2,5
100,180823,1,1,22,1,6
100,180823,1,1,23,2,5
100,180823,1,1,24,2,5
99,180824,1,1,25,1,0
99,180824,1,1,26,1,0
99,180824,1,1,27,5,0
99,180824,1,1,28,1,0
99,180824,1,1,29,1,0
99,180824,1,1,30,5,0
100,180824,1,1,25,3,2
100,180824,1,1,26,1,3
100,180824,1,1,27,4,0
100,180824,1,1,28,1,0
100,180824,1,1,29,1,4
100,180824,1,1,30,1,2
99,180827,1,1,31,1,0
99,180827,1,1,32,4,0
99,180827,1,1,33,5,0
99,180827,1,1,34,1,0
99,180827,1,1,35,5,0
99,180827,1,1,36,5,0
100,180827,1,1,31,5,0
100,180827,1,1,32,4,0
100,180827,1,1,33,1,0
100,180827,1,1,34,1,2
100,180827,1,1,35,1,3
100,180827,1,1,36,5,0
99,180828,1,1,37,5,0
99,180828,1,1,38,1,0
99,180828,1,1,39,1,1
99,180828,1,1,40,5,0
99,180828,1,1,41,5,0
99,180829,1,1,42,5,0
100,180828,1,1,37,5,0
100,180828,1,1,38,5,0
100,180828,1,1,39,1,0
100,180828,1,1,40,1,0
100,180828,1,1,41,5,0
100,180828,1,1,42,2,0
99,180829,1,1,43,1,0
99,180829,1,1,44,5,0
99,180829,1,1,45,1,0
99,180829,1,1,46,4,0
99,180829,1,1,47,5,0
99,180830,1,1,48,5,0
100,180829,1,1,43,2,0
100,180829,1,1,44,3,0
100,180829,1,1,45,5,0
100,180829,1,1,46,5,0
100,180829,1,1,47,4,0
100,180829,1,1,48,5,0
99,180830,1,1,49,0,0
99,180830,1,1,50,5,1
99,180830,1,1,51,5,0
99,180830,1,1,52,5,0
99,180830,1,1,53,5,0
99,180830,1,1,54,5,0
100,180830,1,1,49,2,1
100,180830,1,1,50,5,1
100,180830,1,1,51,5,3
100,180830,1,1,52,3,0
100,180830,1,1,53,1,2
100,180830,1,1,54,5,0
99,180831,1,1,55,5,0
99,180831,1,1,56,5,0
99,180831,1,1,57,5,0
99,180831,1,1,58,5,0
99,180831,1,1,59,5,0
99,180831,1,1,60,5,0
100,180831,1,1,55,5,3
100,180831,1,1,56,5,2
100,180831,1,1,57,5,2
100,180831,1,1,58,5,0
100,180831,1,1,59,5,0
100,180831,1,1,60,5,0
82,181112,1,1,1,1,1
82,181112,1,1,2,0,6
82,181112,1,1,3,0,5
82,181112,1,1,4,0,5
82,181112,1,1,5,1,6
82,181112,1,1,6,0,2
83,181112,1,1,1,1,0
83,181112,1,1,2,1,0
83,181112,1,1,3,0,1
83,181112,1,1,4,0,0
83,181112,1,1,5,0,0
83,181112,1,1,6,1,0
82,181114,1,1,7,0,0
82,181114,1,1,8,0,1
82,181114,1,1,9,0,0
82,181114,1,1,10,1,4
82,181114,1,1,11,1,2
82,181114,1,1,12,1,0
83,181114,1,1,7,0,0
83,181114,1,1,8,0,0
83,181114,1,1,9,1,0
83,181114,1,1,10,1,0
83,181114,1,1,11,1,0
83,181114,1,1,12,1,0
82,181115,1,1,13,0,0
82,181115,1,1,14,1,1
82,181115,1,1,15,3,0
82,181115,1,1,16,1,0
82,181115,1,1,17,1,0
82,181115,1,1,18,1,0
83,181115,1,1,13,0,0
83,181115,1,1,14,0,0
83,181115,1,1,15,1,0
83,181115,1,1,16,1,0
83,181115,1,1,17,2,0
83,181115,1,1,18,1,0
82,181116,1,1,19,1,0
82,181116,1,1,20,1,1
82,181116,1,1,21,3,2
82,181116,1,1,22,3,2
82,181116,1,1,23,1,1
82,181116,1,1,24,2,0
83,181116,1,1,19,1,0
83,181116,1,1,20,2,0
83,181116,1,1,21,2,0
83,181116,1,1,22,2,0
83,181116,1,1,23,1,0
83,181116,1,1,24,2,0
82,181117,1,1,25,2,0
82,181117,1,1,26,1,0
82,181117,1,1,27,3,0
82,181117,1,1,28,3,0
82,181117,1,1,29,2,0
82,181117,1,1,30,1,0
83,181117,1,1,25,1,0
83,181117,1,1,26,1,0
83,181117,1,1,27,1,0
83,181117,1,1,28,1,0
83,181117,1,1,29,2,0
83,181117,1,1,30,2,0
82,181118,1,1,31,5,0
82,181118,1,1,32,1,1
82,181118,1,1,33,5,0
82,181118,1,1,34,5,0
82,181118,1,1,35,5,0
82,181118,1,1,36,1,2
83,181118,1,1,31,1,0
83,181118,1,1,32,3,0
83,181118,1,1,33,2,0
83,181118,1,1,34,1,0
83,181118,1,1,35,2,0
83,181118,1,1,36,2,0
82,181119,1,1,37,5,0
82,181119,1,1,38,2,0
82,181119,1,1,39,5,0
82,181119,1,1,40,2,0
82,181119,1,1,41,5,0
82,181119,1,1,42,2,0
83,181119,1,1,37,2,0
83,181119,1,1,38,2,0
83,181119,1,1,39,2,0
83,181119,1,1,40,2,0
